ID,pos_rate,order,sig
GP120995-4,0,A0_GP120995-1,NO
1015652,0,A1_GP120995-2,NO
GP120995-9,2.5,A2_GP120995-3,NO
1015654,4.16,A3_GP120995-4,NO
1015657,4.17,A4_GP120995-5,NO
1015644,5.98,A5_GP120995-6,YES
GP120995-10,6.25,A6_GP120995-7,NO
GP120995-15,6.25,A7_GP120995-8,NO
1015664,6.25,A8_GP120995-9,NO
1015659,7.17,A9_GP120995-10,YES
1015650,8.33,B0_GP120995-11,NO
1015660,8.33,B1_GP120995-12,NO
GP120995-1,9.653465347,B2_GP120995-13,YES
GP120995-2,11.63366337,B3_GP120995-14,YES
GP120995-12,11.88118812,B4_GP120995-15,YES
GP120995-14,12.5,B5_1015639,NO
1015649,12.5,B6_1015640,NO
1015651,12.5,B7_1015641,NO
1015640,14.1,B8_1015642,YES
1015656,14.58,B9_1015643,NO
1015645,14.6,C0_1015644,NO
GP120995-7,14.63,C1_1015645,NO
GP120995-6,17.5,C2_1015646,NO
1015641,17.57,C3_1015647,YES
1015648,17.95,C4_1015648,YES
GP120995-11,18.75,C5_1015649,NO
1015647,18.75,C6_1015650,NO
1015658,18.75,C7_1015651,NO
1015653,21.04,C8_1015652,YES
994193,22.3,C9_1015653,NO
GP120995-3,22.52475248,D0_1015654,YES
1015655,23.01,D1_1015655,YES
994196,27,D2_1015656,NO
994194,28.71,D3_1015657,YES
1015642,32.67,D4_1015658,YES
1015662,33.33,D5_1015659,NO
GP120995-13,34.9009901,D6_1015660,YES
1015639,35.4,D7_1015662,YES
1015646,36.38,D8_1015663,YES
1015643,46.88,D9_1015664,YES
GP120995-5,49.5049505,E0_994193,YES
994197,49.87,E1_994194,YES
GP120995-8,51.73267327,E2_994195,YES
1015663,53.47,E3_994196,YES
994195,66.58,E4_994197,YES
